"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma"
"       (2016 AG193)",1.311,0.1970,28.80,124.25,320.40,1.052,1.57,1.5,2208,0,47,,,23.52,,,-2.9e-13,9.1e-14,,
"       (2016 CO246)",0.9957,0.1261,6.29,136.39,120.57,0.870,1.12,0.994,1464,0,46,,,25.80,,,-7.3e-13,1.7e-13,,
"       (2016 GE1)",2.063,0.5202,10.73,15.62,197.28,0.990,3.14,2.96,1098,0,127,,,26.70,,,-1.4e-12,4.4e-13,,
"       (2016 GW221)",0.8276,0.2673,3.76,33.13,8.77,0.606,1.05,0.753,2196,0,227,1,0,24.76,,,-1.4e-13,1.1e-14,,
"       (2016 JE)",0.8218,0.4722,16.68,51.36,347.50,0.434,1.21,0.745,3309,1,94,,,21.87,,,-1.3e-13,3.4e-14,,
"       (2016 TH94)",0.8265,0.3731,23.12,30.65,145.67,0.518,1.13,0.751,2210,0,125,2,1,24.60,,,-2.4e-13,2.6e-14,,
"       (2016 UW80)",1.165,0.1694,12.99,37.40,108.55,0.967,1.36,1.26,3642,0,121,,,23.91,,,-2.0e-13,6.2e-14,,
"       (2018 CW2)",0.7602,0.4222,5.10,331.94,327.65,0.439,1.08,0.663,1471,0,161,2,1,25.66,,,-5.5e-13,3.9e-14,,
"       (2018 GY)",0.7665,0.4065,8.75,176.92,204.93,0.455,1.08,0.671,1471,1,34,,,24.83,,,-3.9e-13,6.3e-14,,
"       (2018 HG2)",1.195,0.3295,14.29,206.38,268.72,0.801,1.59,1.31,7497,1,59,,,24.26,,,-4.3e-13,6.7e-14,,
"       (2019 QU2)",0.8238,0.7047,11.33,145.73,355.83,0.243,1.40,0.748,6591,0,54,,,22.14,,,-6.8e-14,1.2e-14,,
"       (2019 XS)",1.005,0.3264,4.45,49.48,250.29,0.677,1.33,1.01,7919,0,129,4,1,23.85,,,-1.7e-13,1.6e-14,,
"       (2020 CD3)",1.029,0.0124,0.63,82.21,49.97,1.016,1.04,1.04,742,0,128,,,31.74,1.4e-10,2.5e-12,,,,
"       (2020 GE)",1.007,0.0394,2.29,180.28,106.83,0.968,1.05,1.01,677,2,47,,,28.16,4.9e-11,3.5e-11,7.0e-13,1.9e-12,,
"       (2020 WY)",1.02,0.0285,1.70,107.11,180.14,0.991,1.05,1.03,360,2,99,,,26.20,6.2e-11,2.9e-11,,,,
"       (2021 GM1)",0.9784,0.0255,1.18,176.25,226.00,0.953,1.00,0.968,344,1,115,,,30.40,5.9e-11,7.2e-12,,,,
"       (2021 QH2)",1.004,0.2850,10.33,333.78,132.74,0.718,1.29,1.01,1087,1,38,,,25.05,,,7.7e-13,2.3e-13,,
"       (2021 UN7)",0.9991,0.3935,20.28,49.93,227.23,0.606,1.39,0.999,2917,0,88,,,23.20,,,-2.6e-13,5.2e-14,,
"       (2022 QX4)",0.6809,0.5048,0.15,335.61,176.18,0.337,1.02,0.562,3320,2,196,,,24.69,,,-3.4e-13,8.9e-14,,
