"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma"
"455176 (1999 VF22)",1.313,0.7385,3.92,3.29,271.92,0.343,2.28,1.5,8140,0,384,5,1,20.71,,,-5.2e-14,7.7e-15,,
"455184 (2000 ED14)",0.835,0.5666,13.78,3.87,310.13,0.362,1.31,0.763,8008,0,164,0,1,21.23,,,6.2e-14,1.3e-14,,
"465617 (2009 EK1)",1.241,0.2291,9.13,358.39,21.85,0.957,1.53,1.38,6615,0,79,,,21.35,,,-1.5e-13,5.0e-14,,
"467351 (2003 KO2)",0.7276,0.5108,23.49,215.47,204.03,0.356,1.10,0.621,6603,0,424,,,20.36,,,3.1e-14,4.5e-15,,
"467460 (2006 JF42)",0.6717,0.5818,5.94,40.84,17.80,0.281,1.06,0.551,5876,0,333,,,19.16,,,4.0e-14,6.8e-15,,
"468468 (2004 KH17)",0.7121,0.4982,22.13,79.14,340.70,0.357,1.07,0.601,6580,0,221,1,0,21.98,,,-6.2e-14,5.9e-15,,
"470975 (2009 SC15)",1.266,0.1794,6.85,178.63,333.88,1.039,1.49,1.42,6195,0,259,1,1,21.44,,,-1.2e-13,4.0e-14,,
"474158 (1999 FA)",1.078,0.1327,12.03,166.09,297.02,0.935,1.22,1.12,13913,0,224,,,20.71,,,-7.6e-14,2.7e-14,,
"474163 (1999 SO5)",1.086,0.0653,13.37,196.07,359.72,1.015,1.16,1.13,6333,0,265,,,20.99,,,-9.8e-14,2.8e-14,,
"474179 (1999 VS6)",1.198,0.2231,27.97,35.29,89.37,0.930,1.46,1.31,7805,0,582,,,19.08,,,-4.2e-14,1.3e-14,,
"477719 (2010 SG15)",2.079,0.4768,0.83,182.30,199.51,1.088,3.07,3,4382,0,123,,,25.22,,,-1.7e-13,1.7e-14,,
"478784 (2012 UV136)",1.008,0.1397,2.10,207.85,290.16,0.867,1.15,1.01,3146,0,148,,,25.60,,,-7.6e-14,1.6e-14,,
"480808 (1994 XL1)",0.6708,0.5263,28.16,252.66,356.57,0.318,1.02,0.549,8033,0,171,,,20.77,,,-4.8e-14,4.0e-15,,
"480820 (1998 VF32)",0.8508,0.4439,23.75,236.27,320.95,0.473,1.23,0.785,8040,0,153,,,20.97,,,2.7e-14,3.4e-15,,
"480883 (2001 YE4)",0.6768,0.5404,4.85,305.34,318.97,0.311,1.04,0.557,7336,0,419,6,1,20.91,,,-6.9e-14,9.3e-16,,
"481442 (2006 WO3)",0.7997,0.4474,21.21,252.61,9.68,0.442,1.16,0.715,7331,0,307,,,21.59,,,-5.9e-14,7.5e-15,,
"483459 (2002 EM6)",1.16,0.1413,31.76,169.50,120.98,0.996,1.32,1.25,7489,0,363,,,20.32,,,4.4e-14,9.3e-15,,
"483656 (2005 ES70)",0.7632,0.3864,20.82,352.84,351.06,0.468,1.06,0.667,5854,0,190,0,1,23.74,,,-1.4e-13,6.0e-15,,
"491007 (2011 GL62)",1.14,0.7069,15.70,189.84,244.39,0.334,1.95,1.22,8071,0,221,,,19.56,,,-5.0e-14,1.2e-14,,
"494710 (2005 MO13)",0.8634,0.4107,6.32,176.58,250.18,0.509,1.22,0.802,7293,1,304,,,20.78,,,-6.4e-14,1.1e-14,,
"499998 (2011 PT)",1.315,0.2163,2.22,70.56,299.55,1.031,1.60,1.51,2300,0,205,,,24.02,,,-2.1e-13,3.0e-14,,
"506590 (2005 XB1)",1.131,0.4187,8.71,73.32,232.94,0.658,1.61,1.2,5956,0,128,,,21.96,,,1.1e-13,1.8e-14,,
"510529 (2012 EY11)",1.148,0.1508,9.02,167.59,238.87,0.975,1.32,1.23,7763,0,151,,,21.68,,,-1.3e-13,2.0e-14,,
"523590 (2001 QC96)",1.335,0.3795,20.59,142.95,277.44,0.829,1.84,1.54,7546,0,236,,,21.00,,,-8.5e-14,2.4e-14,,
"523801 (1993 TQ2)",1.986,0.4189,6.04,13.21,77.86,1.154,2.82,2.8,10399,0,486,,,20.00,,,4.0e-14,8.6e-15,,
"523828 (1992 BC)",1.422,0.3525,14.35,123.34,77.21,0.920,1.92,1.69,10842,0,174,,,20.02,,,-7.4e-14,1.5e-14,,
"524522 (2002 VE68)",0.7237,0.4101,9.04,231.48,355.41,0.427,1.02,0.616,5866,0,597,4,6,20.54,,,-5.8e-14,1.1e-15,,
"525268 (2004 XL14)",0.7596,0.4103,21.46,85.61,157.58,0.448,1.07,0.662,5109,0,276,2,2,21.43,,,-4.6e-14,1.3e-14,,
"525484 (2005 GL)",1.056,0.3063,15.90,43.61,265.36,0.733,1.38,1.09,5727,0,145,,,21.30,,,-1.2e-13,3.0e-14,,
"526798 (2007 AA9)",0.8582,0.4204,6.80,270.85,55.91,0.497,1.22,0.795,4444,1,68,,,22.59,,,-1.2e-13,3.2e-14,,
"526826 (2007 CA27)",0.8657,0.3437,29.97,122.97,200.08,0.568,1.16,0.805,4375,0,108,,,21.30,,,-1.3e-13,3.7e-14,,
"595116 (2001 QE96)",1.311,0.0281,7.27,150.25,278.96,1.274,1.35,1.5,7682,0,69,,,22.84,,,-1.3e-13,1.9e-14,,
"612094 (1999 NW2)",1.116,0.1087,8.68,289.52,52.99,0.995,1.24,1.18,7206,0,171,0,2,23.27,,,-7.6e-14,1.0e-14,,
"612103 (1999 SK10)",1.764,0.4418,6.96,197.66,269.42,0.985,2.54,2.34,7860,0,499,,,19.84,,,-4.7e-14,1.3e-14,,
"612197 (2000 WP19)",0.8546,0.2883,7.68,55.67,222.16,0.608,1.10,0.79,6974,0,76,,,22.93,,,1.9e-13,1.4e-14,,
"612227 (2001 QC34)",1.129,0.1876,6.24,271.46,215.50,0.917,1.34,1.2,6906,0,620,,,20.20,,,-4.1e-14,1.0e-14,,
"612358 (2002 JE9)",1.066,0.4165,8.77,199.84,255.91,0.622,1.51,1.1,7699,0,216,,,21.38,,,-8.7e-14,1.5e-14,,
"612600 (2003 SM84)",1.125,0.0819,2.80,186.65,87.31,1.033,1.22,1.19,6663,1,112,,,23.02,,,-1.7e-13,1.5e-14,,
"613286 (2005 YQ96)",0.7434,0.3335,22.22,282.67,340.11,0.496,0.99,0.641,5851,0,95,5,4,20.62,,,-4.2e-14,1.1e-14,,
"613398 (2006 FK)",0.9225,0.3434,14.61,15.13,3.20,0.606,1.24,0.886,5860,0,109,,,21.25,,,6.6e-14,1.6e-14,,
"613471 (2006 RJ1)",0.9507,0.3005,1.41,93.43,110.32,0.665,1.24,0.927,5213,0,244,,,22.27,,,-1.6e-13,3.6e-14,,
"613569 (2006 TU7)",0.8513,0.4704,2.95,91.37,69.21,0.451,1.25,0.785,6551,0,130,,,21.87,,,1.2e-13,1.1e-14,,
"613714 (2007 DL41)",1.457,0.4764,4.67,150.73,140.23,0.763,2.15,1.76,5390,0,141,,,20.82,,,-1.4e-13,3.1e-14,,
"613862 (2007 UY1)",0.9492,0.1759,1.02,337.47,274.09,0.782,1.12,0.925,5222,0,310,,,23.10,,,-1.8e-13,2.2e-14,,
"613995 (2008 NP3)",1.005,0.3340,1.43,78.34,328.22,0.669,1.34,1.01,4680,0,110,,,22.83,,,-2.0e-13,1.9e-14,,
"614134 (2008 TC4)",0.7803,0.5545,10.65,212.55,324.33,0.348,1.21,0.689,4726,0,180,,,21.65,,,6.5e-14,1.6e-14,,
"       (1994 WR12)",0.757,0.3973,6.85,62.60,206.02,0.456,1.06,0.659,9922,1,120,,,22.41,,,-1.9e-13,2.7e-14,,
"       (1995 CR)",0.9069,0.8684,4.07,342.56,322.59,0.119,1.69,0.864,9156,0,243,,,21.80,,,-4.8e-14,3.3e-15,,
"       (1996 AE2)",1.367,0.2566,37.37,118.95,305.90,1.017,1.72,1.6,8785,0,303,,,20.30,,,5.6e-14,7.0e-15,,
"       (1997 YM9)",1.096,0.1041,7.84,94.70,51.72,0.982,1.21,1.15,8656,0,71,,,24.36,,,1.0e-13,1.4e-14,,
"       (1998 KY26)",1.233,0.2018,1.48,84.37,209.37,0.984,1.48,1.37,8234,0,75,2,2,25.60,,,-2.5e-13,4.2e-14,,
"       (1998 SD9)",0.7025,0.5045,2.99,165.75,7.69,0.348,1.06,0.589,7302,0,150,1,0,24.09,,,-2.9e-13,2.6e-15,,
"       (1999 SH10)",1.098,0.1306,9.59,178.51,118.91,0.955,1.24,1.15,8388,0,99,,,22.75,,,-6.0e-14,1.1e-14,,
"       (1999 UQ)",1.094,0.0158,24.82,211.31,7.23,1.077,1.11,1.14,5861,0,107,,,21.80,,,-1.2e-13,3.5e-14,,
"       (2000 AA6)",1.287,0.5194,2.03,279.79,287.64,0.618,1.95,1.46,6925,0,150,,,22.10,,,1.5e-13,2.0e-14,,
"       (2000 AH205)",1.146,0.4063,2.58,248.02,117.88,0.680,1.61,1.23,7459,1,81,,,22.60,,,-1.6e-13,4.8e-14,,
"       (2000 CK59)",1.476,0.3115,5.71,139.21,341.50,1.017,1.94,1.79,6523,0,70,,,24.10,,,-1.9e-13,2.8e-14,,
"       (2000 EB14)",0.8956,0.4955,11.57,162.80,139.63,0.452,1.34,0.848,8041,1,80,,,23.43,,,-2.7e-13,8.2e-15,,
