! Rej Type Stn UTC               RA          Dec       ResRA                  ResDec                 ResAT                  ResCT                  ResT                   SigRA                  SigDec                 Corr                   dRA                    dDec                   BiasRA                 BiasDec                   Mag    ResMag     Azimuth                Elevation              AzRes                  ElRes
  A   S    C51 2459901.789343  343.938763    5.654910 -2.236405337034160E+00 -6.998479000853344E-01  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  1.000000021954281E+00  1.000000021954281E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00 -7.738650715479092E-02  1.025066551943062E-01                   -5.729577951308232E+91 -5.729577951308232E+91  0.000000000000000E+00  0.000000000000000E+00
  A   S    C51 2459901.724145  344.090622    5.726810 -1.895134265457287E+00 -7.797313263078572E-01  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  1.000000021926209E+00  1.000000021926209E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00 -7.738616086013292E-02  1.025055823948668E-01                   -5.729577951308232E+91 -5.729577951308232E+91  0.000000000000000E+00  0.000000000000000E+00
  A   S    C51 2459901.593878  344.393601    5.870072 -1.943681885211728E+00 -7.878153605186600E-01  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  1.000000021869204E+00  1.000000021869204E+00  6.203854458474350E-25  0.000000000000000E+00  0.000000000000000E+00 -7.738546895599296E-02  1.025034389186210E-01                   -5.729577951308232E+91 -5.729577951308232E+91  0.000000000000000E+00  0.000000000000000E+00
  A   C    G96 2459900.667783  346.535308    6.872589 -1.661074699599359E+00 -2.112762647833597E-01  1.596968495991903E+00 -5.034862863269162E-01  1.495088583646010E+01  5.093230233074768E-01  5.019954577776270E-01  1.696480543863002E-02 -9.700463500865449E-02 -4.471461474130152E-02  0.000000000000000E+00  0.000000000000000E+00     19.86G  0.04   2.188709911997344E+02  5.902390555746113E+01  1.291526704845014E+00 -1.065723035492978E+00
  A   C    G96 2459900.662595  346.547354    6.878050 -2.122941131340546E+00 -6.053493397577477E-01  2.181441160185360E+00 -3.385872633927175E-01  2.042162586657120E+01  5.093254538273342E-01  5.019942354888135E-01  1.696178977664524E-02 -9.701739567541964E-02 -4.470089049694022E-02  0.000000000000000E+00  0.000000000000000E+00     19.90G  0.08   2.157161024116011E+02  5.999257050830110E+01  1.541637912986177E+00 -1.580088420158503E+00
  A   C    G96 2459900.657436  346.559492    6.883589 -2.019654603845206E+00 -6.011658113640683E-01  2.085930063310561E+00 -2.988324322481659E-01  1.952678427777704E+01  5.093274835365438E-01  5.019930045239893E-01  1.695837981773468E-02 -9.702805077915622E-02 -4.468706460885739E-02  0.000000000000000E+00  0.000000000000000E+00     19.86G  0.04   2.124050256357434E+02  6.088363201994378E+01  1.523084681100960E+00 -1.456234220786869E+00
  A   C    G96 2459900.652260  346.571625    6.889131 -2.078707213556693E+00 -6.464637766964981E-01  2.158559732695746E+00 -2.820620049879152E-01  2.020629055219941E+01  5.093291431319772E-01  5.019917636325384E-01  1.695459780452503E-02 -9.703676211123759E-02 -4.467312293074101E-02  0.000000000000000E+00  0.000000000000000E+00     20.00G  0.18   2.089080049820612E+02  6.169808972086743E+01  1.628496540894068E+00 -1.444623864740392E+00
  A   C    F52 2459894.718647  359.605183   12.583886 -1.172282903645024E+00 -2.226054191369888E-02  1.095665103617599E+00 -4.174454678390200E-01  1.189139966674836E+01  5.072514467927908E-01  5.011842860761524E-01  1.157546301010149E-02 -8.546341361760376E-02 -3.443331821734270E-02  0.000000000000000E+00  0.000000000000000E+00     20.08w  0.24   1.028357537387108E+02  6.288356507790646E+01  4.368142248490329E-01  1.088088264285684E+00
  A   C    F52 2459894.712249  359.618679   12.589214 -1.018401395156866E+00  1.167516671715163E-01  9.010137000586965E-01 -4.888217116202163E-01  9.785134075110106E+00  5.072425276867367E-01  5.011823896478144E-01  1.155926059888133E-02 -8.541046011652403E-02 -3.440570441627496E-02  0.000000000000000E+00  0.000000000000000E+00     20.07w  0.23   1.011603175146191E+02  6.075981781616166E+01  2.354576489390220E-01  9.976632944051189E-01
  A   C    F52 2459894.705917  359.632058   12.594453 -7.582851917970559E-01  1.471058179350990E-01  6.484162372604421E-01 -4.197534240790208E-01  7.046575419751392E+00  5.072332480995012E-01  5.011805375422106E-01  1.154299171283646E-02 -8.535533252389145E-02 -3.437871469082332E-02  0.000000000000000E+00  0.000000000000000E+00     20.19w  0.35   9.967191506187127E+01  5.864635524673513E+01  1.083177154484314E-01  7.647900537341923E-01
  A   C    F52 2459885.808749   15.590542   18.195442 -3.889149601704777E-01  2.649785844291856E-01  2.968282156363678E-01 -3.651869478125269E-01  4.640215702886673E+00  5.037429353612103E-01  5.003349732893330E-01  4.451530348293872E-03 -6.129373680535381E-02 -1.830471910937432E-02  0.000000000000000E+00  0.000000000000000E+00     19.62i -0.14   9.408439600199901E+01  7.152971018762230E+01 -1.889014916680084E-01  4.310275198829197E-01
  A   C    F52 2459885.796067   15.610267   18.200903 -1.004306657306063E-01 -1.179019457519424E-01  1.299292913375590E-01  8.429452345026020E-02  2.034099983614449E+00  5.037331373572012E-01  5.003329491082263E-01  4.432324638045522E-03 -6.121315979951118E-02 -1.824930750046866E-02  0.000000000000000E+00  0.000000000000000E+00     19.54i -0.23   9.185060227264429E+01  6.723579086089224E+01  1.334893067375966E-01  7.853529409081703E-02
  A   C    F52 2459885.783418   15.629700   18.206533 -5.439394674791140E-01  2.212897774578084E-01  4.581969639482357E-01 -3.672803454003599E-01  7.184620130710819E+00  5.037223149326384E-01  5.003309771762258E-01  4.412852604024831E-03 -6.112403649678332E-02 -1.819516415646983E-02  0.000000000000000E+00  0.000000000000000E+00     19.78i  0.01   9.006111221144768E+01  6.294816739170851E+01 -1.257410510206952E-01  5.736100574237422E-01
  A   C    703 2459882.735715   19.942725   19.393731 -1.354388424914460E+00  2.994830495643883E-01  1.232336516408545E+00 -6.367140746400310E-01  2.239316922257215E+01  2.000707237436965E+00  2.000049771402598E+00  1.875542161214029E-04 -5.319239315541081E-02 -1.410917589840039E-02  0.000000000000000E+00  0.000000000000000E+00     20.03G  0.13   1.503471768759424E+02  7.541116893007468E+01  1.080809147261590E+00  8.694306698736729E-01
  A   C    703 2459882.730447   19.949942   19.395589 -1.073899304087067E+00  5.669003430494086E-01  8.928876487521670E-01 -8.230354554781039E-01  1.623216801494056E+01  2.000706710594757E+00  2.000049624164455E+00  1.872068468107425E-04 -5.317257358292593E-02 -1.408828885686389E-02  0.000000000000000E+00  0.000000000000000E+00     19.65G -0.25   1.442656242338674E+02  7.454150490414051E+01  6.179493443896165E-01  1.045358465808404E+00
  A   C    703 2459882.725174   19.957246   19.397331 -5.102358055571694E-01  4.176761150701740E-01  3.863850549526200E-01 -5.343224716235953E-01  7.027561662143663E+00  2.000706144107963E+00  2.000049478338200E+00  1.868566700940120E-04 -5.315125435479408E-02 -1.406757154030248E-02  0.000000000000000E+00  0.000000000000000E+00     19.51G -0.39   1.388196723818148E+02  7.353897864135696E+01  1.652786999288164E-01  6.383391463193500E-01
  A   C    703 2459882.719900   19.964533   19.398989  1.921106420855900E-03 -2.334500193333848E-02  4.110017857106600E-03  2.306051860566228E-02  7.478988927866043E-02  2.000705541259263E+00  2.000049334074236E+00  1.865044281222069E-04 -5.312855728568461E-02 -1.404704611405613E-02  0.000000000000000E+00  0.000000000000000E+00     19.81G -0.09   1.339735660166262E+02  7.242699061721646E+01  1.359291504463774E-02 -1.907648882099869E-02
  A   C    K88 2459880.437590   22.823708   20.097583 -2.762520695930915E-01  4.207460558916813E-01  1.690048621951465E-01 -4.741094874153771E-01  3.467665035305342E+00  1.001120727697280E+00  1.000066324494033E+00  5.447549917765653E-04 -4.735709526934544E-02 -1.151678923240226E-02  0.000000000000000E+00  0.000000000000000E+00     19.2 G -0.78   2.007755863487843E+02  6.101199045305924E+01  3.735314821984211E-01  3.373672795484962E-01
  A   C    K88 2459880.435180   22.826792   20.098111  2.793591846411730E-01 -7.867365140031027E-02 -2.528756455061211E-01  1.424254379593094E-01 -5.189066099488205E+00  1.001120571698011E+00  1.000066238629914E+00  5.443644238269730E-04 -4.735379738120694E-02 -1.150933086031964E-02  0.000000000000000E+00  0.000000000000000E+00     19.6 G -0.38   1.991310401352989E+02  6.121218500154576E+01 -2.900036915507760E-01 -1.135589517464364E-02
  A   C    K88 2459880.432780   22.829542   20.098917 -2.503780623117678E-01  4.334310404859960E-01  1.409959314385434E-01 -4.802830293291094E-01  2.893559677266171E+00  1.001120421365529E+00  1.000066150389069E+00  5.439652745125849E-04 -4.735061907516820E-02 -1.150166099824256E-02  0.000000000000000E+00  0.000000000000000E+00     19.5 G -0.48   1.974760847966478E+02  6.139590554972761E+01  3.371878826383107E-01  3.699404989264986E-01
  A   C    G96 2459877.756997   25.808296   20.748089 -1.453843321020752E-01  1.950106034185001E-01  1.022715162399633E-01 -2.206949850639859E-01  2.406237031238218E+00  5.017274333250878E-01  5.000760837013554E-01  1.446073102883582E-03 -4.159810960497241E-02 -8.722090449645992E-03  0.000000000000000E+00  0.000000000000000E+00     19.73G -0.40   1.377030762323479E+02  7.496126875494832E+01 -3.316729620829267E-03  2.432174721748208E-01
  A   C    G96 2459877.751740   25.813933   20.749200 -7.188913967775933E-02  2.335918780274487E-01  2.249984934152636E-02 -2.433659192730310E-01  5.296502416334612E-01  5.017258682481455E-01  5.000757762945460E-01  1.442498413856340E-03 -4.157922853190807E-02 -8.704447859914597E-03  0.000000000000000E+00  0.000000000000000E+00     19.81G -0.32   1.326008476464447E+02  7.382858079563378E+01 -1.018076673775506E-01  2.221900374617179E-01
  A   C    G96 2459877.746469   25.819667   20.750289  2.826189826829823E-01  1.896401145732381E-01 -3.154411102039645E-01 -1.278036322699987E-01 -7.429627090144927E+00  5.017241933964889E-01  5.000754705295500E-01  1.438890207472755E-03 -4.155901369798341E-02 -8.686863964781470E-03  0.000000000000000E+00  0.000000000000000E+00     19.76G -0.37   1.281158457113652E+02  7.260147274984882E+01 -3.335440351295125E-01 -6.771439328382969E-02
  A   C    G96 2459877.741198   25.825292   20.751400  2.817175667747992E-01  2.336665055917892E-01 -3.235152994595287E-01 -1.711802391650468E-01 -7.624184590622201E+00  5.017224297369389E-01  5.000751673646179E-01  1.435266578399774E-03 -4.153771642217264E-02 -8.669394395332089E-03  0.000000000000000E+00  0.000000000000000E+00     19.83G -0.30   1.241737524310045E+02  7.130123696817779E+01 -3.617685496748486E-01 -5.557283267265398E-02
  A   C    F52 2459870.053097   32.397333   21.844803  5.115067456978247E-01  3.126633379851817E-01 -5.494911549972601E-01 -2.397018656460401E-01 -1.985492960739447E+01  3.012500294216233E-01  3.000239347940052E-01  1.149090943088247E-03 -2.741478677329855E-02 -3.788371229703467E-03  0.000000000000000E+00  0.000000000000000E+00     20.57w -0.43   2.788186439486106E+02  5.636170113507439E+01  2.687543964575492E-01  5.358811325279181E-01
  A   C    F52 2459870.039591   32.406896   21.846050  4.285609261937806E-01  3.953353446944988E-01 -4.782015677136705E-01 -3.335832172951407E-01 -1.726550061805287E+01  3.012524360166719E-01  3.000235153406045E-01  1.140061284619575E-03 -2.744121936035482E-02 -3.755006170175697E-03  0.000000000000000E+00  0.000000000000000E+00     20.57w -0.43   2.782020915430844E+02  6.088103275330326E+01  3.684286324562019E-01  4.519013664643237E-01
  A   C    F52 2459870.012557   32.426071   21.848378  3.026178501108757E-01  7.442104927757642E-02 -3.098243545229759E-01 -3.353990348413736E-02 -1.117654275458873E+01  3.012555159564781E-01  3.000226397777260E-01  1.119989789984684E-03 -2.747501085787027E-02 -3.684386873193334E-03  0.000000000000000E+00  0.000000000000000E+00     20.89w -0.12   2.774744478590851E+02  6.994361179987331E+01  7.177062330690570E-02  3.032573715698703E-01
  A   C    G96 2459869.855077   32.534717   21.861000  5.988322029475979E-01  4.036388001671619E-01 -6.458040323706211E-01 -3.232049505519752E-01 -2.355341543342967E+01  5.007387943797045E-01  5.000124639475181E-01  3.832574185982866E-04 -2.719063446408823E-02 -3.529094584719996E-03  0.000000000000000E+00  0.000000000000000E+00     20.29G -0.61   2.227981119635488E+02  7.626435219264276E+01 -2.219622079613675E-01  6.872096234230269E-01
  A   C    G96 2459869.849925   32.538283   21.861361  4.017402044281252E-01  1.334504994129302E-01 -4.155376969950780E-01 -8.082481069287512E-02 -1.515802030247556E+01  5.007386148599783E-01  5.000123705639310E-01  3.817716736189147E-04 -2.718732830113385E-02 -3.515839192264291E-03  0.000000000000000E+00  0.000000000000000E+00     20.31G -0.59   2.166538916490154E+02  7.727072061464747E+01 -2.652032950358010E-01  3.299567243597501E-01
  A   C    G96 2459869.844777   32.541883   21.861850  3.270951171745770E-01  3.304270980801781E-01 -3.666382563460600E-01 -2.859189951868514E-01 -1.337717383053752E+01  5.007383824070072E-01  5.000122762553079E-01  3.802528883154670E-04 -2.718304667237794E-02 -3.502401579021006E-03  0.000000000000000E+00  0.000000000000000E+00     20.40G -0.50   2.096175929107380E+02  7.813130195214221E+01 -1.440971680505547E-01  4.420512289152323E-01
  A   C    F51 2457584.046070  320.089368  -13.356251 -8.040694487308944E-01 -1.499362209065370E-01  8.149740157267781E-01 -6.946871534948257E-02  1.776313528524797E+01  2.048313744727386E-01  2.003724295102536E-01  1.315756886632697E-02 -4.422534867949197E-02 -1.221065130420697E-02 -5.093703877063241E-03  1.143614259805852E-01     21.0 w -0.12   2.014569523584077E+02  5.374007540549695E+01  6.995929655684461E-01 -4.237667179641864E-01
  A   C    F51 2457584.021340  320.116385  -13.349015 -6.837195039154496E-01 -2.262386838137563E-01  7.192979018953068E-01  3.559256126185098E-02  1.565923598978874E+01  2.048407797955665E-01  2.003752648653562E-01  1.321981804959245E-02 -4.426888927502028E-02 -1.225709020322006E-02 -5.093666638184682E-03  1.143610149987773E-01     21.0 w -0.12   1.867464953005200E+02  5.580143368868827E+01  6.534978964327205E-01 -3.026496348092536E-01
