"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1000039,"   52P/Harrington-Abell",52P,Harrington-Abell,P,,,0,,,11.7,15.5,16.25,5.,0.03,2.6,,,,,,,,,,,,"JPL K212/18",2457561.5,57561,2016-06-22.0,J2000,0.5401,3.859,1.775,10.23,336.84,139.66,108.90,5.94,0.13,2456723.87,2014-03-07.3,2.77e+03,7.58,0.806,314,0.0354,2.77,3.4e-07,9.0e-08,1.3e-06,9.9e-06,6.4e-05,9.1e-05,1.8e-05,1.4e-07,4.5e-09,1.3e-04,9.7e-05,JFc,"Davide Farnocchia",3159,2013-10-01,2022-05-26,1156,,,0,.55548,,-4.8e-09,3.7e-10,-1.6e-10,3.8e-10,,,,
1000102,"   53P/Van Biesbroeck",53P,"Van Biesbroeck",P,,,0,,,9.9,12.5,10.,5.,0.03,6.66,,,,,,,,,,,,"JPL K162/8",2455782.5,55782,2011-08-09.0,J2000,0.5511,5.405,2.426,6.61,148.90,134.27,224.54,8.38,0.07845,2457509.30,2016-04-30.7,4.59e+03,12.6,1.42,551,0.00943,2.65,7.4e-08,1.1e-07,4.3e-07,6.7e-06,9.1e-05,9.4e-05,1.6e-05,1.8e-07,2.5e-09,2.6e-04,1.4e-04,JFc,"Davide Farnocchia",6192,2001-02-20,2018-02-03,2911,,,0,.61036,,-1.2e-08,1.2e-09,4.6e-09,4.6e-10,2.2e-09,4.4e-10,-179,11.8
1000095,"   55P/Tempel-Tuttle",55P,Tempel-Tuttle,P,Y,,0,,,10.0,16.0,25.0,10.0,,3.6,,0.06,,,,,,,,,,"JPL J985/69",2451040.5,51040,1998-08-15.0,J2000,0.9056,10.34,0.976,162.49,235.27,172.50,4.98,19.70,0.02965,2450872.60,1998-02-28.0,1.21e+04,33.2,0.00848,3.3,,-0.637,6.8e-08,5.2e-07,7.3e-07,1.9e-05,1.0e-04,1.5e-04,1.4e-06,9.9e-07,2.2e-09,3.9e-05,9.1e-04,HTC,"M.S.W. Keesey",48407,1865-12-22,1998-07-05,392,,,,.72806,,1.6e-09,3.5e-10,9.2e-11,2.0e-13,,,,
1000087,"   56P/Slaughter-Burnham",56P,Slaughter-Burnham,P,,,0,,,9.4,13.4,14.5,5.,0.03,3.12,,,,,,,,,,,,"JPL K162/3",2456513.5,56513,2013-08-09.0,J2000,0.5073,5.086,2.506,8.15,346.04,44.22,267.70,7.67,0.08593,2457587.58,2016-07-18.0,4.19e+03,11.5,1.52,591,0.0223,2.71,1.6e-07,1.1e-07,7.9e-07,6.5e-06,6.7e-05,9.2e-05,1.8e-05,1.6e-07,2.7e-09,2.1e-04,1.3e-04,JFc,"Davide Farnocchia",4940,2004-07-15,2018-01-23,1983,,,0,.60139,,-3.8e-08,2.1e-09,2.0e-08,1.7e-09,,,,
1000050,"   59P/Kearns-Kwee",59P,Kearns-Kwee,P,,,0,,,10.4,14.7,15.25,5.,0.03,1.58,,,,,,,,,,,,"JPL K182/6",2456600.5,56600,2013-11-04.0,J2000,0.4764,4.491,2.352,9.34,312.86,127.75,176.09,6.63,0.1036,2454900.12,2009-03-09.6,3.48e+03,9.52,1.38,537,0.00636,2.77,2.3e-07,1.4e-07,9.8e-07,8.7e-06,5.8e-05,1.2e-04,3.3e-05,2.1e-07,4.9e-09,3.0e-04,1.6e-04,JFc,"Davide Farnocchia",3925,2008-07-09,2019-04-08,1270,,,0,.68005,,,,,,,,,
1000082,"   61P/Shajn-Schaldach",61P,Shajn-Schaldach,P,,,0,,,13.9,,7.25,,,2.4,,,,,,,,,,,,"JPL K223/5",2457726.5,57726,2016-12-04.0,J2000,0.4255,3.68,2.114,6.01,163.02,221.92,59.87,5.25,0.1396,2457297.63,2015-10-02.1,2.58e+03,7.06,1.12,437,0.31,2.93,2.3e-07,5.6e-08,8.7e-07,1.1e-05,1.2e-04,2.5e-04,7.6e-05,7.9e-08,3.2e-09,5.5e-04,5.9e-05,JFc,"Davide Farnocchia",5374,2008-06-07,2023-02-23,2245,,,0,.64795,,3.2e-09,5.5e-10,-2.3e-09,1.0e-10,-5.9e-09,2.1e-10,-116,5.5
1000106,"   63P/Wild 1",63P,Wild,P,,,0,,,6.5,14.3,27.,5.,0.03,2.9,,,,,,,,,,,,"JPL 31",2456717.5,56717,2014-03-01.0,J2000,0.6509,5.588,1.951,19.78,358.00,169.03,24.19,9.22,0.07462,2456393.33,2013-04-10.8,4.82e+03,13.2,0.96,374,1.31,2.41,1.4e-07,2.1e-07,8.3e-07,1.5e-05,2.3e-05,1.3e-04,2.0e-05,3.4e-07,4.1e-09,2.6e-04,2.7e-04,JFc,"Ryan S. Park",19491,1960-04-16,2013-08-27,1948,,,0,.58205,,3.0e-09,5.1e-10,-1.1e-09,1.4e-12,,,,
1000090,"   64P/Swift-Gehrels",64P,Swift-Gehrels,P,,,0,,,14.5,,6.,,,3.2,,,,,,,,,,,,"JPL K183/8",2458096.5,58096,2017-12-09.0,J2000,0.6873,4.456,1.393,8.95,300.00,97.14,325.43,7.52,0.1048,2458426.41,2018-11-03.9,3.44e+03,9.41,0.44,171,0.649,2.5,2.4e-08,7.4e-08,1.1e-07,3.0e-06,2.8e-05,4.0e-05,3.9e-06,1.3e-07,2.6e-09,3.2e-05,8.6e-05,JFc,"Davide Farnocchia",6707,2000-12-22,2019-05-04,3436,,,0,.44957,,,,5.1e-10,3.1e-12,,,,
1000035,"   65P/Gunn",65P,Gunn,P,,,0,,,10.5,,8.5,,,10.8,,,,,,,,,,,,"JPL K171/21",2457956.5,57956,2017-07-22.0,J2000,0.2501,3.881,2.910,9.19,62.02,213.53,348.82,4.85,0.1289,2458043.24,2017-10-16.7,2.79e+03,7.64,1.9,739,0.393,2.99,2.7e-07,2.0e-06,6.5e-07,8.1e-06,5.1e-05,7.2e-05,4.0e-05,2.5e-06,9.9e-08,2.5e-04,2.2e-03,JFc,"Shantanu Naidu",3443,2013-09-23,2023-02-26,1968,,,1,.54238,,-6.4e-08,7.4e-09,-1.7e-08,1.5e-09,2.0e-08,3.7e-09,,
1000012,"   67P/Churyumov-Gerasimenko",67P,Churyumov-Gerasimenko,P,Y,,0,,,12.8,,8.,,,3.4,,,12.76129,662.2e-9,,,,,,,0.10,"JPL K212/38",2457691.5,57691,2016-10-30.0,J2000,0.6419,3.464,1.240,7.05,50.05,12.84,67.81,5.69,0.1529,2457247.92,2015-08-13.4,2.36e+03,6.45,0.254,99,0.0825,2.74,3.0e-08,4.7e-08,1.1e-07,2.1e-06,1.7e-05,1.5e-05,2.3e-06,7.6e-08,3.1e-09,2.0e-05,4.7e-05,JFc,"Davide Farnocchia",3328,2013-04-17,2022-05-28,7133,,,0,.51733,,6.3e-10,2.2e-11,-9.5e-11,5.9e-12,,,,
1000051,"   68P/Klemola",68P,Klemola,P,,,0,,,11.2,14.1,11.75,5.,0.03,4.4,,,,,,,,,,,,"JPL K192/2",2457446.5,57446,2016-02-28.0,J2000,0.6403,4.899,1.762,11.18,175.30,153.84,237.03,8.04,0.09089,2458799.42,2019-11-11.9,3.96e+03,10.8,0.76,296,0.174,2.52,8.2e-08,5.8e-08,4.0e-07,5.4e-06,6.6e-05,7.2e-05,8.8e-06,9.5e-08,1.6e-09,8.0e-05,7.0e-05,JFc,"Davide Farnocchia",4656,2008-04-13,2021-01-11,1669,,,0,.5734,,,,,,,,,
1000053,"   70P/Kojima",70P,Kojima,P,,,0,,,12.1,14.9,12.,5.,0.03,3,,,,,,,,,,,,"JPL 64",2457120.5,57120,2015-04-08.0,J2000,0.4540,3.675,2.007,6.60,119.27,1.96,23.69,5.34,0.1399,2456951.18,2014-10-20.6,2.57e+03,7.04,1.02,398,0.14,2.9,9.0e-08,3.7e-08,3.3e-07,5.3e-06,2.1e-05,4.3e-05,1.8e-05,5.3e-08,2.1e-09,1.2e-04,3.8e-05,JFc,"Davide Farnocchia",18799,1970-12-27,2022-06-16,2074,,,0,.54668,,2.0e-10,4.7e-11,-7.5e-11,9.5e-13,,,,
1000014,"   71P/Clark",71P,Clark,P,,,0,,,11.3,14.6,13.75,5.,0.03,1.36,,,,,,,,,,,,"JPL K232/9",2458147.5,58147,2018-01-29.0,J2000,0.4944,3.137,1.586,9.45,59.45,208.92,37.74,4.69,0.1774,2457934.72,2017-06-30.2,2.03e+03,5.56,0.58,226,0.556,2.99,2.0e-07,5.8e-07,8.5e-07,1.1e-05,3.3e-05,7.2e-05,2.5e-05,8.7e-07,4.9e-08,1.0e-04,5.6e-04,JFc,"Davide Farnocchia",2552,2016-03-04,2023-02-28,1042,,,1,.65368,,3.1e-08,2.8e-10,3.0e-09,1.3e-10,,,,
1000088,"   74P/Smirnova-Chernykh",74P,Smirnova-Chernykh,P,,,0,,,6.7,12.1,14.,5.,0.03,4.46,,,,,,,,,,,,"JPL K183/41",2456199.5,56199,2012-09-29.0,J2000,0.1477,4.166,3.551,6.65,77.08,86.59,134.50,4.78,0.1159,2455039.20,2009-07-26.7,3.11e+03,8.5,2.57,1e+03,0.478,3.01,4.4e-08,5.3e-08,2.0e-07,3.9e-06,3.5e-05,4.1e-05,1.8e-05,6.0e-08,2.2e-09,1.5e-04,5.9e-05,ETc,"Shantanu Naidu",9310,1997-07-14,2023-01-09,5844,,,0,.6564,,2.0e-07,1.6e-08,-9.9e-08,1.9e-09,,,,
1000052,"   75D/Kohoutek",75D,Kohoutek,D,,,0,,,10.5,14.5,10.0,5.0,0.03,4.6,,,,,,,,,,,,"JPL J873/16",2449520.5,49520,1994-06-17.0,J2000,0.4963,3.543,1.785,5.91,269.69,175.80,358.09,5.30,0.1478,2449533.40,1994-06-29.8,2.44e+03,6.67,0.801,312,,2.89,1.0e-06,5.3e-06,1.3e-06,5.6e-05,4.3e-04,4.9e-04,4.9e-04,7.9e-06,3.3e-07,3.4e-03,5.4e-03,JFc,"M.S.W. Keesey",4784,1975-02-09,1988-03-16,81,,,,1.4735,,4.0e-08,4.5e-10,8.7e-09,1.6e-11,,,,
1000104,"   76P/West-Kohoutek-Ikemura",76P,West-Kohoutek-Ikemura,P,,,0,,,15.4,17.2,10.25,5.,0.03,0.66,,,,,,,,,,,,"JPL K195/8",2455628.5,55628,2011-03-08.0,J2000,0.5384,3.471,1.602,30.48,84.11,0.05,239.28,5.34,0.1524,2456420.54,2013-05-08.0,2.36e+03,6.47,0.617,240,0.0488,2.69,1.4e-07,2.3e-08,5.0e-07,1.4e-05,1.4e-05,6.3e-05,1.6e-05,3.5e-08,1.5e-09,1.1e-04,2.3e-05,JFc,"Shantanu Naidu",9743,1993-07-20,2020-03-23,1156,,,0,.83969,,4.3e-10,7.8e-11,-1.7e-10,2.3e-13,,,,
1000059,"   77P/Longmore",77P,Longmore,P,,,0,,,9.6,13.3,14.,5.,0.03,8.2,,,,,,,,,,,,"JPL 54",2455953.5,55953,2012-01-27.0,J2000,0.3559,3.608,2.324,24.38,14.92,197.07,134.32,4.89,0.1438,2455019.69,2009-07-07.1,2.5e+03,6.85,1.33,517,0.202,2.86,1.2e-07,3.3e-08,4.3e-07,1.3e-05,1.4e-05,2.8e-05,1.2e-05,4.4e-08,1.9e-09,8.7e-05,3.4e-05,JFc,"Shantanu Naidu",17367,1975-08-11,2023-02-27,2091,,,0,.77935,,3.9e-10,1.5e-10,-4.7e-10,2.8e-12,9.4e-10,2.0e-10,,
1000022,"   79P/du Toit-Hartley",79P,"du Toit-Hartley",P,Y,,0,,,17.4,,4.5,,,2.8,,,,,,,,,,,,"JPL 17",2454391.5,54391,2007-10-18.0,J2000,0.5941,3.031,1.231,2.89,307.84,253.27,318.28,4.83,0.1867,2454614.91,2008-05-28.4,1.93e+03,5.28,0.234,91.1,0.366,2.94,4.5e-07,3.6e-07,1.5e-06,2.3e-05,2.1e-04,2.3e-04,2.0e-05,5.7e-07,3.3e-08,1.1e-04,3.4e-04,JFc,"Javier Roa",9595,1986-12-27,2013-04-04,215,,,1,.88891,,-4.0e-10,2.0e-10,-6.7e-13,1.1e-12,,,,
1000107,"   81P/Wild 2",81P,Wild,P,,,0,,,9.3,12.9,13.5,5.,0.03,4.0,,,,,,,,,,,,"JPL K222/4",2458399.5,58399,2018-10-08.0,J2000,0.5379,3.449,1.594,3.24,136.12,41.72,124.64,5.30,0.1539,2457589.57,2016-07-20.0,2.34e+03,6.4,0.598,233,0.0132,2.88,8.2e-08,9.0e-08,2.9e-07,9.1e-06,2.2e-04,2.2e-04,1.6e-05,1.4e-07,6.0e-09,1.0e-04,9.2e-05,JFc,"Davide Farnocchia",3062,2014-10-17,2023-03-06,2146,,,0,.5815,,2.7e-09,1.1e-10,7.2e-10,8.2e-11,-1.0e-09,6.7e-11,-115,4.69
1000031,"   82P/Gehrels 3",82P,Gehrels,P,,,0,,,7.6,16.4,18.5,5.,0.03,1.46,,,,,,,,,,,,"JPL 19",2452484.5,52484,2002-07-29.0,J2000,0.1233,4.135,3.626,1.13,239.59,227.50,38.99,4.65,0.1172,2452151.79,2001-08-30.2,3.07e+03,8.41,2.64,1.03e+03,0.517,3.03,6.6e-07,2.3e-07,2.8e-06,2.2e-05,1.8e-03,1.8e-03,1.7e-04,2.6e-07,9.8e-09,1.4e-03,2.6e-04,ETc,"Javier Roa",16277,1975-10-27,2020-05-20,143,,,0,.62987,,,,2.9e-11,4.9e-12,,,,
1000033,"   84P/Giclas",84P,Giclas,P,,,0,,,14.2,,6.5,,,1.80,,,,,,,,,,,,"JPL 49",2455894.5,55894,2011-11-29.0,J2000,0.4945,3.641,1.840,7.28,112.39,276.40,274.58,5.44,0.1419,2456496.57,2013-07-23.0,2.54e+03,6.95,0.862,335,0.555,2.87,1.5e-07,2.7e-08,5.4e-07,1.1e-05,5.2e-05,6.0e-05,1.6e-05,4.0e-08,1.6e-09,1.2e-04,2.8e-05,JFc,"Davide Farnocchia",15537,1978-09-03,2021-03-18,1745,,,0,.6615,,5.7e-10,4.0e-11,-2.3e-11,3.3e-13,,,,
1000108,"   86P/Wild 3",86P,Wild,P,,,0,,,17.2,,4.5,,,0.86,,,,,,,,,,,,"JPL K152/7",2457683.5,57683,2016-10-22.0,J2000,0.3722,3.605,2.264,15.47,72.39,179.19,81.70,4.95,0.144,2457115.99,2015-04-03.4,2.5e+03,6.85,1.25,486,0.111,2.93,3.3e-06,4.5e-07,1.2e-05,1.0e-04,2.1e-04,7.7e-04,2.8e-04,6.2e-07,2.7e-08,1.9e-03,4.7e-04,JFc,"Shantanu Naidu",5193,2008-06-03,2022-08-22,32,,,1,.88412,,,,,,,,,
1000010,"   87P/Bus",87P,Bus,P,,,0,,,12.7,16.1,14.,5.,0.03,0.56,,,,,,,,,,,,"JPL K203/18",2457467.5,57467,2016-03-20.0,J2000,0.3893,3.441,2.101,2.60,181.89,24.76,126.79,4.78,0.1544,2456646.40,2013-12-19.9,2.33e+03,6.38,1.1,427,0.181,3.01,5.1e-07,2.8e-07,1.7e-06,2.7e-05,3.1e-04,6.7e-04,2.5e-04,3.9e-07,1.9e-08,1.6e-03,2.9e-04,ETc,"Davide Farnocchia",7602,1999-11-13,2020-09-05,667,,,1,.70867,,1.3e-08,1.3e-09,-2.0e-09,4.0e-11,5.9e-09,2.4e-10,,
1000046,"   88P/Howell",88P,Howell,P,,,0,,,12.1,,9.,,,4.4,,,,,,,,,,,,"JPL K203/26",2457474.5,57474,2016-03-27.0,J2000,0.5631,3.109,1.358,4.38,56.70,235.89,63.98,4.86,0.1798,2457118.72,2015-04-06.2,2e+03,5.48,0.35,136,0.465,2.95,4.4e-08,6.1e-08,1.6e-07,8.4e-06,7.7e-05,7.8e-05,8.4e-06,9.5e-08,5.3e-09,5.4e-05,5.9e-05,JFc,"Davide Farnocchia",4811,2008-12-30,2022-03-03,3508,,,0,.61236,,8.2e-09,2.7e-11,-7.0e-10,6.4e-12,-6.3e-10,2.1e-11,33.9,0.329
1000073,"   89P/Russell 2",89P,Russell,P,,,0,,,12.6,16.6,12.,5.,0.03,2.8,,,,,,,,,,,,"JPL 21",2457560.5,57560,2016-06-21.0,J2000,0.4080,3.751,2.221,12.08,41.45,250.14,336.03,5.28,0.1357,2457737.17,2016-12-14.6,2.65e+03,7.26,1.24,482,0.741,2.9,3.5e-07,1.2e-06,2.0e-06,1.8e-05,9.1e-05,2.9e-04,1.8e-04,1.6e-06,6.3e-08,1.4e-03,1.2e-03,JFc,"Shantanu Naidu",13592,1980-08-09,2017-10-26,188,,,1,.72631,,7.5e-09,1.0e-09,-3.4e-10,1.3e-11,-4.2e-10,3.0e-10,,
