"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","tp_cal","class","two_body","A1","A2","A3","DT","spkid","pdes","name","prefix","neo","pha","sats","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","producer","first_obs","last_obs","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2001 OG108 (LONEOS)",13.3,0.9253,80.25,10.56,116.42,0.994,25.61,48.5,340,2,882,,,,2002-03-15.2,HTC,,,,,,1000373,"2001 OG108",LONEOS,C,Y,,0,,13.3,,11.5,,,13.6,,0.054,57.12,,,,,,,,1.00,"JPL 42",2452248.5,52248,2001-12-05.0,J2000,357.96,0.02032,2452348.71,1.77e+04,0.301,117,0.968,0.597,8.3e-07,1.5e-04,1.8e-07,2.3e-05,8.9e-06,1.7e-05,3.4e-05,2.8e-04,3.4e-07,2.0e-05,2.9e-01,"Otto Matic",2001-07-28,2002-07-03,.62489,,,,
"     C/2001 W2 (BATTERS)",17.93,0.9414,115.91,113.36,142.09,1.051,34.81,75.9,198,4,350,,,,2001-12-23.9,HTC,,,,,,1000362,"2001 W2",BATTERS,C,Y,,0,,12.1,,10.75,,,,,,,,,,,,,,,"JPL 23",2452248.5,52248,2001-12-05.0,J2000,359.75,0.01298,2452267.42,2.77e+04,0.146,56.7,0.883,-0.257,1.0e-05,3.2e-03,1.6e-06,1.1e-04,1.1e-04,3.2e-04,6.4e-05,6.2e-03,3.5e-06,1.8e-04,7.4e+00,"Otto Matic",2001-11-21,2002-06-07,.58196,,,,
"     C/2002 R5 (SOHO)",3.216,0.9853,14.12,13.21,45.73,0.047,6.38,5.77,2105,5,64,,,,2002-09-05.1,JFC,,,,,,1001843,"2002 R5",SOHO,C,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 4",2453575.5,53575,2005-07-24.0,J2000,179.91,0.1709,2452522.68,2.11e+03,0.0941,36.6,0.956,1.88,8.8e-05,1.4e-04,2.8e-04,1.7e-01,8.1e-01,1.6e+00,6.9e-03,2.8e-04,1.1e-05,2.9e-02,1.4e-01,"Otto Matic",2002-09-05,2008-06-10,.087419,,,,
"     P/2002 S7 (SOHO)",3.224,0.9848,13.58,50.19,52.17,0.049,6.40,5.79,2114,4,39,,,,2008-07-04.8,JFC,,,,,,1001852,"2002 S7",SOHO,P,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 4",2453663.5,53663,2005-10-20.0,J2000,191.61,0.1703,2454652.33,2.11e+03,0.114,44.5,0.908,1.88,9.7e-05,3.7e-05,3.1e-04,3.3e-01,8.5e-01,1.3e+00,1.9e-03,7.3e-05,2.9e-06,5.8e-03,3.6e-02,"Otto Matic",2002-09-20,2008-07-04,.12642,,,,
"     P/2003 T12 (SOHO)",2.568,0.7762,11.48,176.47,217.67,0.575,4.56,4.12,4592,1,491,,,,2012-01-26.4,JFc,,,,,,1002004,"2003 T12",SOHO,P,Y,,0,,19.6,,21.75,,,,,,,,,,,,,,,"JPL 9",2456072.5,56072,2012-05-25.0,J2000,28.63,0.2395,2455952.95,1.5e+03,0.155,60.2,1.02,2.89,7.6e-07,4.7e-07,1.9e-06,7.2e-05,7.1e-04,8.7e-04,4.0e-05,8.3e-07,6.5e-08,1.5e-04,4.1e-04,"Otto Matic",2003-10-09,2016-05-05,.34753,,,,
"     P/2005 T4 (SWAN)",9.324,0.9304,160.04,25.42,41.44,0.649,18.00,28.5,17,8,31,,,,2005-10-10.5,HTC,,,,,,1001673,"2005 T4",SWAN,P,Y,,0,,15.4,,10.,,,,,,,,,,,,,,,"JPL 7",2453667.5,53667,2005-10-24.0,J2000,0.47,0.03462,2453654.04,1.04e+04,0.157,61.2,0.355,-0.365,1.4e-03,1.9e-01,7.8e-06,6.7e-04,3.9e-03,1.1e-02,1.4e-02,3.7e-01,1.1e-03,4.7e-03,3.2e+02,"Otto Matic",2005-10-14,2005-10-31,.67104,,,,
"     P/2006 HR30 (Siding Spring)",7.818,0.8431,31.88,309.95,117.41,1.226,14.41,21.9,1034,2,3059,,,,2007-01-02.2,HTC,,,,,,1002409,"2006 HR30","Siding Spring",P,Y,,0,,13.9,,4.5,,,,,,70.7,,,,,,,,,"JPL 89",2454046.5,54046,2006-11-07.0,J2000,357.46,0.04509,2454102.78,7.98e+03,0.453,176,0.574,1.79,4.5e-07,2.3e-05,1.1e-07,6.0e-06,7.4e-06,1.0e-05,1.1e-05,4.2e-05,2.0e-07,1.4e-05,3.5e-02,"Otto Matic",2005-07-06,2008-05-05,.42835,,,,
"     P/2007 T2 (Kowalski)",3.093,0.7750,9.90,4.00,358.55,0.696,5.49,5.44,160,6,50,,,,2007-09-19.0,JFc,,1.3e-08,2.4e-09,,,1002480,"2007 T2",Kowalski,P,Y,,0,,18.5,,4.5,,,,,,,,,,,,,,,"JPL 22",2454411.5,54411,2007-11-07.0,J2000,8.88,0.1812,2454362.52,1.99e+03,0.156,60.8,0.0304,2.64,8.8e-05,1.1e-03,2.6e-05,6.5e-04,1.6e-03,1.8e-03,4.8e-03,2.0e-03,9.8e-05,1.0e-03,1.1e+00,"Otto Matic",2007-08-11,2008-01-18,.27926,4.7e-09,3.1e-09,,
"     P/2008 Y12 (SOHO)",3.078,0.9788,23.35,312.57,146.62,0.065,6.09,5.4,1973,4,76,,,,2008-12-22.4,JFC,,,,,,1003317,"2008 Y12",SOHO,P,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 5",2455493.5,55493,2010-10-24.0,J2000,122.37,0.1825,2454822.97,1.97e+03,0.0446,17.4,0.95,1.98,3.7e-04,3.6e-05,1.1e-03,9.8e-02,1.1e+00,9.3e-01,4.1e-03,7.2e-05,3.2e-06,1.1e-02,3.5e-02,"Otto Matic",2008-12-21,2014-05-17,.1675,,,,
"     P/2009 WX51 (Catalina)",3.08,0.7403,9.59,31.76,118.02,0.800,5.36,5.41,146,4,113,,,,2010-01-31.0,JFc,,,,,,1003080,"2009 WX51",Catalina,P,Y,,0,,20.6,,10.,,,,,,,,,,,,,,,"JPL 21",2455174.5,55174,2009-12-09.0,J2000,350.32,0.1823,2455227.58,1.97e+03,0.00933,3.63,0.508,2.71,9.4e-06,1.0e-04,2.0e-06,1.7e-04,4.4e-04,3.7e-04,5.1e-04,1.8e-04,9.2e-06,1.1e-04,1.0e-01,"Otto Matic",2009-11-22,2010-04-17,.49193,,,,
