object_name,obs_filename,download_files
2012 UR158,1859804p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859804p.fits.fz
2012 UR158,1859805p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859805p.fits.fz
2012 UR158,1859995p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859995p.fits.fz
2012 UR158,1859996p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859996p.fits.fz
2012 UR158,1859997p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859997p.fits.fz
2012 UR158,1859998p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859998p.fits.fz
2012 UR158,1859999p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1859999p.fits.fz
2012 UR158,1860000p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1860000p.fits.fz
2012 UR158,c4d_160718_015604_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/affeccf08e9fa0b6d44c54eaf6d6a7c7
2012 UR158,c4d_160718_015604_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c08e15c2213d1912871a077303b683e1
2012 UR158,c4d_170820_031114_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f2aa3123a61b932f3d856b191a5e8f37
2012 UR158,c4d_170820_031114_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/1a0039fcebc80b32e7e316d58d813324
2012 UR158,c4d_180901_081613_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5d614476d90316a51c7fc8183a9eb0e2
2012 UR158,c4d_180901_081613_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/03b23eb5e474553959d12692e429931d
2012 UR158,c4d_180902_081952_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/67878cc3d5ad4d3d9046193a1daed177
